Property address,CS - NOI,CS - PV size (kW),Building type,Utility,Gross roof area (ft²),Owner name
"600 Mayer St, Bridgeville, PA 15017","$51,156","3,197","Industrial, Manufacturing",Duquesne Light Co,"266,440",Universal Stainless Alloy Pdts
"541-599 Braddock Ave, East Pittsburgh, PA 15112","$90,002","5,625","Industrial, Warehouse",Duquesne Light Co,"468,762",The Ridc Regional Growth Fund
"4200 Forbes Ave, Pittsburgh, PA 15213","$32,839","2,052",Office,Duquesne Light Co,"273,661",Fire Dept-Engine 18
"200 Schoolhouse Rd, Monroe Township, NJ 08831","$97,443","2,030","School, Primary",Jersey Central Power & Lt Co,"270,676",Fire Department
"1053 N Schmidt Rd, Romeoville, IL 60446","$150,897","6,036","Industrial, Manufacturing",Commonwealth Edison Co,"502,991",Prologis
"800 Airport Rd, Lakewood, NJ 08701","$150,305","3,131","Industrial, Manufacturing",Jersey Central Power & Lt Co,"260,946",Drinking Water Education Inc
"3850 Mystic Valley Pkwy, Medford, MA 02155","$217,429","2,174","Retail, Strip Mall",National Grid - Massachusetts,"289,905",Blackstone
"295 Raritan Center Pkwy, Edison, NJ 08837","$287,716","2,936","Industrial, Manufacturing",Public Service Elec & Gas Co,"244,656",Raritan Center Bussiness Park
"450 Central Ave, University Park, IL 60484","$152,201","6,088","Industrial, Manufacturing",Commonwealth Edison Co,"507,335",Lineage Logistics
"1301 Edison Hwy, Baltimore, MD 21213","$250,730","3,687","Industrial, Warehouse",Baltimore Gas & Electric Co,"307,267",Kenneth Levy
"1020 Airport 100 Way, Hanover, MD 21076","$262,288","3,857","Industrial, Warehouse",Baltimore Gas & Electric Co,"321,431","Clarion Partners, LLC"
"400 Frankfort Rd, Monaca, PA 15061","$53,163","3,323","Industrial, Manufacturing",Duquesne Light Co,"276,890",Bvpv Styrenics LLC
"501 E 151st St, Phoenix, IL 60426","$151,434","6,057","Industrial, Manufacturing",Commonwealth Edison Co,"504,779","Agnl Freezer Tn, L.L.C."
"2575 Enterprise Cir, West Chicago, IL 60185","$150,541","6,022","Industrial, Manufacturing",Commonwealth Edison Co,"501,804",2575 Enterprise Circle LLC
"121 Bata Blvd, Belcamp, MD 21017","$246,566","3,626","Industrial, Warehouse",Baltimore Gas & Electric Co,"302,164",Timothy Weber
"1601 Trapelo Rd, Waltham, MA 02451","$136,965","1,756",Office,Eversource Energy (Formerly NSTAR Electric Company),"234,129",Boston Properties
"150 Thorn Hill Rd, Warrendale, PA 15086",—,—,"Industrial, Manufacturing",West Penn Power Co,"423,202",North Lanes
"400 Commerce Blvd, Carlstadt, NJ 07072","$302,735","3,089","Industrial, Manufacturing",Public Service Elec & Gas Co,"257,428","570 Commerce Boulevard, LLC"
"135 American Legion Hwy, Revere, MA 02151","$589,979","5,900","Industrial, Warehouse",National Grid - Massachusetts,"491,649","Clarion Partners, LLC"
"34 Maple St, Milford, MA 01757","$298,352","2,984","Industrial, Manufacturing",National Grid - Massachusetts,"248,627",Waters
"19 Crows Mill Rd, Woodbridge Township, NJ 08832","$399,131","4,073","Industrial, Manufacturing",Public Service Elec & Gas Co,"339,397",Prologis
"2400 Dralle Rd, University Park, IL 60484","$375,000","15,000","Industrial, Manufacturing",Commonwealth Edison Co,"1,338,063",Lba Realty LLC
