Property address,CS - NOI,CS - PV size (kW),Building type,Utility,Gross roof area (ft²),Owner name
"2501 Green Ln, Levittown, PA 19057","$48,110","3,007","Industrial, Warehouse",PECO Energy Co,"250,573",Airgas
"20 Steel Rd S, Morrisville, PA 19067","$45,063","2,816","Industrial, Warehouse",PECO Energy Co,"234,701",20 Steel Road LLC
"184 Tuckerton Rd, Reading, PA 19605","$20,961","1,233","Industrial, Manufacturing",Metropolitan Edison Co,"102,749",Asb Capital Management LLC
"40 Logistics Dr, Carlisle, PA 17013","$25,533","1,277","Industrial, Warehouse",PPL Electric Utilities Corp,"106,386",Liberty Property
"10 Old Mill Blvd, Washington, PA 15301",—,—,"Retail, Strip Mall",West Penn Power Co,"106,947",Tsg
"900 N South Rd, Scranton, PA 18504","$22,929","1,146","Industrial, Manufacturing",PPL Electric Utilities Corp,"95,536",Mitsubishi Chem Methacrylates
"975 Kelly Rd, Cumberland, MD 21502","$119,722","3,991","Industrial, Manufacturing",The Potomac Edison Co,"332,562",Northbranch Properties LLC
"605 Tri State Pkwy, Gurnee, IL 60031","$74,591","2,984","Industrial, Warehouse",Commonwealth Edison Co,"248,636",Cbre
"5701 W 73rd St, Chicago, IL 60638","$29,596","1,184","Industrial, Manufacturing",Commonwealth Edison Co,"98,655",Ppp Holdings LLC
"2105 S Lakeside Dr, Waukegan, IL 60085","$95,762","3,830","Industrial, Warehouse",Commonwealth Edison Co,"319,206","Lakeside Drive Associates, Inc."
"555 W Madison St, Chicago, IL 60661","$20,402",816,Multi-Family,Commonwealth Edison Co,"108,812",Waterton Residential
"285 E Walnut St, Albion, IL 62806","$129,442","4,794","Industrial, Manufacturing",Ameren Illinois,"399,511",
"1835 W Jefferson Ave, Naperville, IL 60540","$75,016","3,001","Industrial, Warehouse",Commonwealth Edison Co,"250,053",Prologis
"9100 W 191st St, Mokena, IL 60448","$88,437","3,537","Industrial, Warehouse",Commonwealth Edison Co,"294,791",Lilli Kuzma
"1105 S Frontenac St, Aurora, IL 60504","$70,986","2,839","Industrial, Warehouse",Commonwealth Edison Co,"236,620","Aic Income Fund Lake, L.L.C."
"2380 Diehl Rd, Aurora, IL 60502","$91,392","3,656","Industrial, Warehouse",Commonwealth Edison Co,"304,641",Tiaa
"1000 Ross Park Mall Dr, Pittsburgh, PA 15237","$8,203",513,"Retail, Strip Mall",Duquesne Light Co,"68,357","Simon Property Group Administrative Services Partnership, L.P."
"7300 W Foster Ave, Chicago, IL 60656","$30,019","1,201","Retail, Strip Mall",Commonwealth Edison Co,"160,103",
"30 Eagleville Rd, Eagleville, PA 19403","$32,630","2,039","Industrial, Warehouse",PECO Energy Co,"169,950",Ridgetop Associates LP
"17525 Halsted St, Homewood, IL 60430","$26,382","1,055","Retail, Strip Mall",Commonwealth Edison Co,"140,703",Midwest Manufacturing
"2501 Wabash Ave, Springfield, IL 62704","$127,360","4,717","Retail, Strip Mall",Ameren Illinois,"628,937",Darden
"141 Barrington Rd, Schaumburg, IL 60194","$25,356","1,014","Retail, Strip Mall",Commonwealth Edison Co,"135,233","Rcg-Snellville, LLC"
"1200 Ward Ave, West Chester, PA 19380","$47,033","2,940","Industrial, Warehouse",PECO Energy Co,"244,965",UPS
"2707 N Eola Rd, Aurora, IL 60502","$74,753","2,990","Industrial, Warehouse",Commonwealth Edison Co,"249,178",Blackstone
"1901 E Voorhees St, Danville, IL 61834","$126,570","4,688","Industrial, Manufacturing",Ameren Illinois,"390,647","Scilten Investment Group, LLC"
"705 Tri State Pkwy, Gurnee, IL 60031","$72,373","2,895","Industrial, Warehouse",Commonwealth Edison Co,"241,243",Exeter 705 Tri-State LLC
"1600 Fort Jesse Rd, Normal, IL 61761","$126,305","4,678","Industrial, Manufacturing",Ameren Illinois,"389,831",Bridgestone
"800 E High St, Carlisle, PA 17013","$15,250",762,"Retail, Strip Mall",PPL Electric Utilities Corp,"101,664",
"8500 W Golf Rd, Niles, IL 60714","$28,455","1,138","Retail, Strip Mall",Commonwealth Edison Co,"151,762","Was Niles, LLC"
"401 Acorn Ln, Downingtown, PA 19335","$48,097","3,006","Industrial, Warehouse",PECO Energy Co,"250,507",Ingleside Golf Club
"670 S Rand Rd, Lake Zurich, IL 60047","$26,520","1,061","Retail, Strip Mall",Commonwealth Edison Co,"141,439","Hd Development of Maryland, Inc."
"17604 Garland Groh Blvd, Hagerstown, MD 21740","$39,889","1,330","Retail, Strip Mall",The Potomac Edison Co,"177,284",B33 Hagerstown III LLC
"1705 S Waukegan Rd, Waukegan, IL 60085","$72,063","2,883","Industrial, Warehouse",Commonwealth Edison Co,"240,211",Blackstone
"201 Mittel Dr, Wood Dale, IL 60191","$28,729","1,149","Industrial, Manufacturing",Commonwealth Edison Co,"95,762",Blackstone
"1401 Mississippi Ave, Sauget, IL 62201","$124,520","4,612","Industrial, Manufacturing",Ameren Illinois,"384,321",
"160 Iko Way, Hagerstown, MD 21740","$124,069","4,136","Industrial, Warehouse",The Potomac Edison Co,"344,636",Blair Sales Inc.
"100 Trim Masters Dr, Lawrenceville, IL 62439","$123,617","4,578","Industrial, Manufacturing",Ameren Illinois,"381,534","Toyota Boshoku America, Inc."
"1035 Longford Rd, Phoenixville, PA 19460","$47,781","2,986","Industrial, Warehouse",PECO Energy Co,"248,861","BLUEGRASS LABELS COMPANY, LLC"
"3000 S River Rd, Des Plaines, IL 60018","$27,766","1,111","Retail, Strip Mall",Commonwealth Edison Co,"148,086","Midwest Gaming Holdings, LLC"
"90 Front St, Worcester, MA 01608","$37,613",376,Office,National Grid - Massachusetts,"50,150","Front Street Associates, LLC"
"1460 Golf Rd, Rolling Meadows, IL 60008","$24,585",983,"Retail, Strip Mall",Commonwealth Edison Co,"131,118",Pacifica Rolling Meadows LLC
"220 Armstrong Rd, Pittston, PA 18640","$25,140","1,257","Industrial, Warehouse",PPL Electric Utilities Corp,"104,750","Cicf I - Fl2b01, LLC"
"240 Independence Way, Danvers, MA 01923",—,—,"Retail, Strip Mall",Danvers Electric Department,"310,846",Danvers M
"2700 Burlington Ave, Delanco, NJ 08075","$43,009",439,"Industrial, Manufacturing",Public Service Elec & Gas Co,"36,572",2700 Burlington LLC
"450 Revolutionary Dr, Taunton, MA 02718",—,—,"Industrial, Warehouse",Taunton Municipal Lighting Plant,"748,296",Berkshire
"7 N Christopher Columbus Blvd, Philadelphia, PA 19106","$9,261",579,Office,PECO Energy Co,"77,178",Rafael Burgos
"761 Progress Pkwy, La Salle, IL 61301","$114,956","4,258","Industrial, Manufacturing",Ameren Illinois,"354,804",STORE Capital
"329 Industrial Dr, Albion, IL 62806","$114,250","4,231","Industrial, Manufacturing",Ameren Illinois,"352,623",
"390 Oakland St, Mansfield, MA 02048",—,—,"Industrial, Warehouse",Town of Mansfield,"254,560",
"101 Vera King Farris Dr, Galloway, NJ 08205","$38,174",402,"School, Primary",Atlantic City Electric Co,"53,577",Stockton University
"2917 N Vermilion St, Danville, IL 61832","$112,507","4,167","Retail, Strip Mall",Ameren Illinois,"555,589","Tabani Group, Inc."
"11 Brick Plant Rd, South River, NJ 08882","$27,310",569,"Industrial, Manufacturing",Jersey Central Power & Lt Co,"47,413",John Killian
"1725 1200th Ave, Lincoln, IL 62656","$111,807","4,141","Industrial, Manufacturing",Ameren Illinois,"345,084",Eaton
"305 Forbes Blvd, Mansfield, MA 02048",—,—,"Industrial, Warehouse",Town of Mansfield,"465,065",
"10 Senate Pl, Jersey City, NJ 07306","$44,275",452,"Industrial, Manufacturing",Public Service Elec & Gas Co,"37,649","Senate Place Holdings, LLC"
"2201 Green Ln, Levittown, PA 19057",—,—,"Industrial, Manufacturing",PECO Energy Co,"3,747",Abraham Lesser
"883 Carol Ct, Carol Stream, IL 60188","$25,584","1,023","Industrial, Manufacturing",Commonwealth Edison Co,"85,281",
"1500 Fort Jesse Rd, Normal, IL 61761","$108,684","4,025","Industrial, Warehouse",Ameren Illinois,"335,444",Scott Lurie
"420 Industrial Ave, Effingham, IL 62401","$108,338","4,013","Industrial, Manufacturing",Ameren Illinois,"334,378","F Street, Inc."
"1813 E Voorhees St, Danville, IL 61834","$108,226","4,008","Industrial, Manufacturing",Ameren Illinois,"334,031",Wt Enterprises
"560 West St, Mansfield, MA 02048",—,—,"Industrial, Warehouse",Town of Mansfield,"353,080",Morgan Stanley
"11700 Mexico Farm Rd SE, Cumberland, MD 21502","$59,961","1,999","Industrial, Warehouse",The Potomac Edison Co,"166,559","Calumet Holdings, LLC"
"3940 IL-251, Peru, IL 61354","$107,556","3,984","Retail, Strip Mall",Ameren Illinois,"531,143",Peru Mall AMA LLC
"2230 E Morton Ave, Jacksonville, IL 62650","$107,470","3,980","Industrial, Manufacturing",Ameren Illinois,"331,699",Reynolds Consumer Products Co
"1220 N 6th St, Monmouth, IL 61462","$106,411","3,941","Industrial, Manufacturing",Ameren Illinois,"328,429",Good Food. Responsibly
"67 Hayward Rd, Acton, MA 01720","$15,594",200,"Industrial, Manufacturing",Eversource Energy (Formerly NSTAR Electric Company),"16,660",Haartz Auto Fabric
"8742 Congdon Hill Dr, Alburtis, PA 18011","$21,000","1,050","Industrial, Warehouse",PPL Electric Utilities Corp,"87,498",Prologis
"17310 Mockingbird Rd, Nashville, IL 62263","$105,248","3,898","Industrial, Manufacturing",Ameren Illinois,"324,840",Bmb Properties Management L.L.C.
"151 Swedesford Rd, Exton, PA 19341",—,—,"Restaurant, Full Service ",PECO Energy Co,"4,663",Exton/Whiteland Devco
"2120 N 22nd St, Decatur, IL 62526","$103,809","3,845","Industrial, Manufacturing",Ameren Illinois,"320,397",The 212o Company
"1 Carol Pl, Moonachie, NJ 07074","$39,878",407,"Industrial, Manufacturing",Public Service Elec & Gas Co,"33,910",Forsgate Industrial
"2607 Rose St, Franklin Park, IL 60131","$23,843",954,"Industrial, Manufacturing",Commonwealth Edison Co,"79,476",
"500 Enterprise Rd, Horsham, PA 19044","$8,293",518,Office,PECO Energy Co,"69,109","500 Enterprise Partners, LP"
"7300 N McCormick Blvd, Skokie, IL 60076","$23,765",951,"Industrial, Manufacturing",Commonwealth Edison Co,"79,217",Tenpaar001 LLC
"200 Swan Ave, Centralia, IL 62801","$100,779","3,733","Industrial, Manufacturing",Ameren Illinois,"311,047","Swan Surfaces, LLC"
"1555 Warner St, Baltimore, MD 21230","$99,454","1,463",Parking Lot,Baltimore Gas & Electric Co,"195,007",Erin Chamberlain
"201 E Huron St, Chicago, IL 60611","$20,403",816,"Retail, Strip Mall",Commonwealth Edison Co,"108,817",
"857 Willow Cir, Hagerstown, MD 21740","$31,891","1,063","Industrial, Manufacturing",The Potomac Edison Co,"88,585",Jamie Rongone
"600 W Camp St, East Peoria, IL 61611","$98,694","3,655","Industrial, Manufacturing",Ameren Illinois,"304,611","Wepo, LLC"
"1000 Brewbaker Dr, Saint Elmo, IL 62458","$98,684","3,655","Industrial, Manufacturing",Ameren Illinois,"304,579",CONAGRA FOOD SERVICE COMPANY CONAGRA FOODS CULINARY PRODUCTS
"11263 N Mockingbird Rd, Nashville, IL 62263","$98,362","3,643","Industrial, Manufacturing",Ameren Illinois,"303,587","Kirchner & Company, LLC"
"2351 State St, Chicago Heights, IL 60411","$22,892",916,"Industrial, Manufacturing",Commonwealth Edison Co,"76,308","S & S Steel Warehouse, Inc."
"3501 Wisman Ln, Quincy, IL 62301","$97,842","3,624","Industrial, Manufacturing",Ameren Illinois,"301,980","Asl Properties, LLC"
"1045 Parsonage Rd, Bridgeton, NJ 08302","$54,075",569,"Industrial, Manufacturing",Atlantic City Electric Co,"47,434","LASSONDE PAPPAS AND COMPANY, INC."
"400 Shelhouse Dr, Rantoul, IL 61866","$97,247","3,602","Industrial, Manufacturing",Ameren Illinois,"300,146",Guardian West
"500 Dacey Dr, Shelbyville, IL 62565","$97,105","3,596","Industrial, Manufacturing",Ameren Illinois,"299,708",Graphic Packaging Corporation
"2300 N Salisbury Blvd, Salisbury, MD 21801","$30,078",547,"Retail, Strip Mall",Delmarva Power,"72,916",Fpb 2310 Salisbury LLC
"1390 Peterson Industrial Dr, Greenville, IL 62246","$96,634","3,579","Industrial, Manufacturing",Ameren Illinois,"298,252",Carlisle
"537 Monmouth Rd, Jackson Township, NJ 08527","$16,966",353,"Retail, Strip Mall",Jersey Central Power & Lt Co,"47,127","Simon Property Group Administrative Services Partnership, L.P."
"205 Capitol Way, Jacksonville, IL 62650","$95,542","3,539","Industrial, Manufacturing",Ameren Illinois,"294,881","Tm & JM Commercial Properties, LLC"
"111 Pella Rd, Macomb, IL 61455","$95,530","3,538","Industrial, Manufacturing",Ameren Illinois,"294,845","Trigen Cfa, LLC"
"1010 E Fairchild St, Danville, IL 61832","$95,076","3,521","Industrial, Manufacturing",Ameren Illinois,"293,444",Jr Butler
"1200 McGrath Ave, Effingham, IL 62401","$94,823","3,512","Industrial, Warehouse",Ameren Illinois,"292,663",ADM
"1805 E University Dr, Macomb, IL 61455","$93,621","3,467","Industrial, Warehouse",Ameren Illinois,"288,953","Macomb Industrial Park, LLC"
"101 Franklin St, Kewanee, IL 61443","$93,369","3,458","Industrial, Manufacturing",Ameren Illinois,"288,176",Kewanee Preservation Society
"2333 S Wabash Ave, Centralia, IL 62801","$91,831","3,401","Industrial, Manufacturing",Ameren Illinois,"283,428",Stella D'Oro Distributors
"914 Saegers Station Rd, Montgomery, PA 17752","$16,348",817,"Industrial, Manufacturing",PPL Electric Utilities Corp,"68,117",St Engineering North Amer Inc
"1 W Hegeler Ln, Danville, IL 61832","$91,144","3,376","Industrial, Manufacturing",Ameren Illinois,"281,309",C C L Custom Manufacturing
"2969 Chartres St, La Salle, IL 61301","$90,857","3,365","Industrial, Manufacturing",Ameren Illinois,"280,424","Cme Wire & Cable, Inc."
"17590 Mockingbird Rd, Nashville, IL 62263","$90,166","3,339","Industrial, Manufacturing",Ameren Illinois,"278,289","Kbp, LLC"
"9912 Governor Lane Boulevard, Williamsport, MD 21795","$89,897","2,997","Industrial, Warehouse",The Potomac Edison Co,"249,715",Bowman Development Corporation
"3400 Wisman Ln, Quincy, IL 62301","$88,972","3,295","Industrial, Manufacturing",Ameren Illinois,"274,605",Manchester Tank & Equipment Co.
"11459 N Mockingbird Rd, Nashville, IL 62263","$88,892","3,292","Industrial, Manufacturing",Ameren Illinois,"274,358","Kirchner & Company, LLC"
"18355 Enterprise Ave, Nashville, IL 62263","$88,643","3,283","Industrial, Manufacturing",Ameren Illinois,"273,589","Gah Industrial 25, LLC"
"6251 IL-251, Peru, IL 61354","$88,480","3,277","Industrial, Manufacturing",Ameren Illinois,"273,085",City of Peru
"102 Mercury Dr, Champaign, IL 61822","$88,116","3,264","Industrial, Manufacturing",Ameren Illinois,"271,964",Fedex
"509 W Monroe St, Highland, IL 62249","$87,737","3,250","Industrial, Manufacturing",Ameren Illinois,"270,792",
"1117 N 2nd St, Murphysboro, IL 62966","$86,951","3,220","Industrial, Manufacturing",Ameren Illinois,"268,366",Berkshire
"5851 W Dickens Ave, Chicago, IL 60639","$20,278",811,"Industrial, Manufacturing",Commonwealth Edison Co,"67,592",
"640 E Jackson St, Du Quoin, IL 62832","$85,697","3,174","Industrial, Manufacturing",Ameren Illinois,"264,498","JTE, INC"
"2226 E Morton Ave, Jacksonville, IL 62650","$85,373","3,162","Industrial, Manufacturing",Ameren Illinois,"263,497",Reynolds Consumer Products
"600 E Peoria St, Goodfield, IL 61742","$84,941","3,146","Industrial, Manufacturing",Ameren Illinois,"262,164",Case Corp
"1453 S Washington St, Du Quoin, IL 62832","$84,880","3,144","Industrial, Manufacturing",Ameren Illinois,"261,974",Prysmian Cable & Systems USA
"1501 S 19th St, Mattoon, IL 61938","$84,569","3,132","Industrial, Manufacturing",Ameren Illinois,"261,016",GE Aerospace
"1000 14th St, Charleston, IL 61920","$84,543","3,131","Industrial, Manufacturing",Ameren Illinois,"260,935",
"6400 Oakton St, Morton Grove, IL 60053","$19,471",779,"Industrial, Manufacturing",Commonwealth Edison Co,"64,904",John Crane
"700 E State St, Calumet City, IL 60409","$19,128",765,"Industrial, Manufacturing",Commonwealth Edison Co,"63,761",Amy Faure
"4300 Montgomery Rd, Ellicott City, MD 21043","$13,728",202,"Retail, Strip Mall",Baltimore Gas & Electric Co,"26,918",Crow Holdings Capital
"2472 Solomons Island Rd, Annapolis, MD 21401","$13,715",202,"Retail, Strip Mall",Baltimore Gas & Electric Co,"26,892",Lerner Mark
"3209 Farber Dr, Champaign, IL 61822","$83,060","3,076","Industrial, Manufacturing",Ameren Illinois,"256,357",Dodds Holdings LLC
"1703 E Voorhees St, Danville, IL 61832","$82,558","3,058","Industrial, Manufacturing",Ameren Illinois,"254,808",
"1650 Premium Outlet Blvd, Aurora, IL 60502","$16,753",670,"Retail, Strip Mall",Commonwealth Edison Co,"89,347","Simon Property Group Administrative Services Partnership, L.P."
"200 Mall Cir Dr, Monroeville, PA 15146","$5,386",337,"Retail, Strip Mall",Duquesne Light Co,"44,887",Cbl
"2940 MacArthur Rd, Whitehall Township, PA 18052","$8,490",424,"School, Primary",PPL Electric Utilities Corp,"56,599",George D Stckel Elmentary Schl
"100 Church St, Peru, IL 61354","$80,016","2,964","Industrial, Manufacturing",Ameren Illinois,"246,962",Maze Nails Division
"2200 W War Memorial Dr, Peoria, IL 61613","$79,132","2,931",Multi-Family,Ameren Illinois,"390,777",
"1119 N Kickapoo St, Lincoln, IL 62656","$78,551","2,909","Industrial, Manufacturing",Ameren Illinois,"242,441","Fortune Plastic, Inc.,"
"600 Powder Mill Rd, East Alton, IL 62024","$77,611","2,874","Industrial, Manufacturing",Ameren Illinois,"239,539",Olin
"18259 W Frontage Rd, Litchfield, IL 62056","$77,151","2,857","Industrial, Manufacturing",Ameren Illinois,"238,121",Pioneer HI Bred Int L
"606 S Tremont Ave, Princeville, IL 61559","$76,969","2,851","Industrial, Manufacturing",Ameren Illinois,"237,558",Owattona Canning Co
"1386 IL-117, Roanoke, IL 61561","$76,872","2,847","Industrial, Manufacturing",Ameren Illinois,"237,260",Parsons
"501 SW Jefferson Ave, Peoria, IL 61605","$76,454","2,832","Industrial, Manufacturing",Ameren Illinois,"235,969",Caterpillar
"2000 WOLF BUSINESS PARK, GREENVILLE, IL 62246","$76,414","2,830","Industrial, Manufacturing",Ameren Illinois,"235,847",United Stationers
"510 E McClurken Ave, Sparta, IL 62286","$75,272","2,788","Industrial, Manufacturing",Ameren Illinois,"232,320","Spartan Light Metal Products, Inc."
"200 Cascade Dr, Allentown, PA 18109","$12,236",612,"Industrial, Manufacturing",PPL Electric Utilities Corp,"50,982","First Industrial Realty Trust, Inc."
"902 S 2nd St, Marshall, IL 62441","$73,816","2,734","Industrial, Manufacturing",Ameren Illinois,"227,827",Cinch Power Products
"1170 Smallwood Dr W, Waldorf, MD 20603",—,—,"Retail, Strip Mall",Southern Maryland Elec Coop Inc,"86,559",Fcpt
"1057 N Cicero Ave, Chicago, IL 60651","$16,927",677,"Industrial, Manufacturing",Commonwealth Edison Co,"56,422","4100 W. Fillmore, LLC"
"2900 Main St, Peru, IL 61354","$72,855","2,698","Industrial, Manufacturing",Ameren Illinois,"224,860",American Nickeloid Company Inc
"14009 N Old Galena Rd, Chillicothe, IL 61523","$72,842","2,698","Industrial, Manufacturing",Ameren Illinois,"224,822",Sheriffs Dept-Detective Bureau
"1100 E Bell St, Bloomington, IL 61701","$72,540","2,687","Industrial, Manufacturing",Ameren Illinois,"223,888","Bell International Company, LLC"
"120 Raritan Center Pkwy, Edison, NJ 08837","$28,168",287,"Industrial, Manufacturing",Public Service Elec & Gas Co,"23,952",V Mueller Div
"4501 Curtis Ave, Baltimore, MD 21226","$16,230",239,"Industrial, Manufacturing",Baltimore Gas & Electric Co,"19,890",Scannell Properties
"303 W Raymond St, Sullivan, IL 61951","$70,472","2,610","Industrial, Manufacturing",Ameren Illinois,"217,505",Phyllis Farley
"700 Broadway Ave E, Mattoon, IL 61938","$69,257","2,565",Office,Ameren Illinois,"342,011",
"7701 Burholme Ave, Philadelphia, PA 19111",—,—,Hospital,PECO Energy Co,"8,095",
"245 Reading Rd, East Earl, PA 17519","$13,158",658,"Industrial, Warehouse",PPL Electric Utilities Corp,"54,826",Conestoga
"301 Mt Hope Ave, Rockaway, NJ 07866","$13,049",272,"Retail, Strip Mall",Jersey Central Power & Lt Co,"36,247",Macy's
"4540 S Kildare Ave, Chicago, IL 60632","$15,228",609,"Industrial, Manufacturing",Commonwealth Edison Co,"50,761",Rapid Displays
"201 SW Jefferson Ave, Peoria, IL 61602","$67,388","2,496","Retail, Strip Mall",Ameren Illinois,"332,778",Peoria Civic Center Authority
"3720 Nazareth Rd, Easton, PA 18045","$8,124",406,"Retail, Strip Mall",PPL Electric Utilities Corp,"54,161",Robert Baker
"515 N Zarfoss Dr, York, PA 17404","$62,957","3,703","Industrial, Warehouse",Metropolitan Edison Co,"308,612",Prologis
"631 S Richland Ave, York, PA 17403","$9,221",542,"Industrial, Manufacturing",Metropolitan Edison Co,"45,201",Denver Realty Associates
"1215 Loop Rd, Lancaster, PA 17601","$9,764",488,"Industrial, Manufacturing",PPL Electric Utilities Corp,"40,685","Broadstone Net Lease, Inc."
"2759 Paper Mill Rd, Reading, PA 19610","$7,791",390,"Retail, Strip Mall",PPL Electric Utilities Corp,"51,939",Gh Carbon Associates LP
"6800 Santa Fe Dr, Hodgkins, IL 60525","$13,966",559,"Industrial, Manufacturing",Commonwealth Edison Co,"46,554",Prudential Private Capital
"225 Peach St, Leesport, PA 19533","$59,648","3,509","Industrial, Warehouse",Metropolitan Edison Co,"292,391",Dumb Dogs Corporation
"1000 Weldon Rd, Jefferson, NJ 07438",—,—,"School, Primary",Jersey Central Power & Lt Co,"26,126",Jefferson Township Board of Education (inc)
"2180 MacArthur Rd, Fullerton, PA 18052","$7,507",375,"Retail, Strip Mall",PPL Electric Utilities Corp,"50,046",Bpg
"10900 Redco Dr, Marion, IL 62959","$42,571","1,577","Industrial, Manufacturing",Ameren Illinois,"131,393",A H A
"6512 Nor Bath Blvd, Bath, PA 18014","$12,108",757,"Industrial, Warehouse",PECO Energy Co,"63,063",Keystone Cement Company
"615 Baltimore Pike, Bel Air, MD 21014",—,—,"Retail, Strip Mall",Baltimore Gas & Electric Co,"19,320","Kite Realty Group, L.P."
"1000 Broadway Ave E, Mattoon, IL 61938","$47,510","1,760",Office,Ameren Illinois,"234,616",Diepholz Family Limited Liability Company
"501 Zschokke St, Highland, IL 62249","$55,705","2,063","Industrial, Manufacturing",Ameren Illinois,"171,929",Timothy Griffith
"4030 Pottsville Pike, Reading, PA 19605","$55,580","3,269","Industrial, Warehouse",Metropolitan Edison Co,"272,452",Benjamin Cohen
"22-08 NJ-208, Fair Lawn, NJ 07410","$21,598",220,"Industrial, Manufacturing",Public Service Elec & Gas Co,"18,366","22-10 Rt208, LLC"
"111 Woodcrest Rd, Cherry Hill Township, NJ 08003",—,—,Office,Public Service Elec & Gas Co,"25,602",Crown Milford LLC
"515 NE Glen Oak Ave, Peoria, IL 61603","$53,930","1,997",Office,Ameren Illinois,"266,319",The Sisters of The Third Order of St Francis
"2484 N Elston Ave, Chicago, IL 60647","$12,466",499,"Industrial, Manufacturing",Commonwealth Edison Co,"41,552",Midtown Athletic Clubs
"202 1st Ave, Ford City, PA 16226",—,—,"Industrial, Manufacturing",West Penn Power Co,"37,240","Nature's Blend Wood Products, Inc."
"7039 Cermak Rd, Berwyn, IL 60402","$10,505",420,"Retail, Strip Mall",Commonwealth Edison Co,"56,024",Cermak Plaza Assoc LLC
"720 Laurel St, Reading, PA 19602","$52,325","3,078","Industrial, Warehouse",Metropolitan Edison Co,"256,495",Ds Smith Packaging
", CARBONDALE, IL 62901","$52,157","1,932",Hotel,Ameren Illinois,"257,567","Premier Property Management and Development, LLC"
"900 Packer Ave, Philadelphia, PA 19148","$6,422",401,Hotel,PECO Energy Co,"53,517","Glp Capital, L.P."
"5689 York Rd, Spring Grove, PA 17362","$51,972","3,057","Industrial, Warehouse",Metropolitan Edison Co,"254,765","Conewago Contractors, Inc."
"3002 Apollo Dr, Champaign, IL 61822","$51,634","1,912",Office,Ameren Illinois,"254,984","Viking Warehouse, LLC"
"6900 N McCormick Blvd, Lincolnwood, IL 60712","$10,425",417,"Retail, Strip Mall",Commonwealth Edison Co,"55,599",Daniel Schied
"100 Industrial Dr, Hamburg, PA 19526","$51,406","3,024","Industrial, Warehouse",Metropolitan Edison Co,"251,988",Carosella Family Foundation
"1285 Ritner Hwy, Carlisle, PA 17013","$8,453",423,"Industrial, Manufacturing",PPL Electric Utilities Corp,"35,219",Carlisle
"6211 N Illinois St, Fairview Heights, IL 62208","$51,134","1,894","Industrial, Manufacturing",Ameren Illinois,"157,820",
"14 Deka Rd, Kutztown, PA 19530","$51,015","3,001","Industrial, Warehouse",Metropolitan Edison Co,"250,075",Battery Assembly
"100 Lincoln St, New Oxford, PA 17350","$50,975","2,999","Industrial, Warehouse",Metropolitan Edison Co,"249,876","Tb-Rep, LLC"
"81 W Huller Ln, Reading, PA 19605","$50,951","2,997","Industrial, Warehouse",Metropolitan Edison Co,"249,762",Textile Chemical Co Inc
"2001 Rockland St, Reading, PA 19605","$50,842","2,991","Industrial, Warehouse",Metropolitan Edison Co,"249,224","Stag Industrial, Inc."
"2000 Kitty Hawk Ave, Philadelphia, PA 19112","$4,603",288,"Industrial, Manufacturing",PECO Energy Co,"23,974",
"70 Bordnersville Rd, Jonestown, PA 17038","$49,839","2,932","Industrial, Warehouse",Metropolitan Edison Co,"244,309",American Realty Advisors
"2525 Monroe Blvd, Norristown, PA 19403","$6,312",395,"Industrial, Manufacturing",PECO Energy Co,"32,875","TPR33, LLC"
"5460 Pottsville Pike, Leesport, PA 19533","$49,371","2,904","Industrial, Warehouse",Metropolitan Edison Co,"242,014",
"15A Melanie Ln, East Hanover, NJ 07936","$12,700",265,"Industrial, Manufacturing",Jersey Central Power & Lt Co,"22,049",Edens
"820 E Bald Eagle St, Lock Haven, PA 17745","$8,331",417,"Industrial, Manufacturing",PPL Electric Utilities Corp,"34,711",Anthony Frasca
"2525 N 12th St, Reading, PA 19605","$9,397",553,"Industrial, Warehouse",Metropolitan Edison Co,"46,063","AGR133, LLC"
"403 Carver Ln, East Peoria, IL 61611","$46,505","1,722","Industrial, Warehouse",Ameren Illinois,"143,534","384 Carver Lane 403, LLC"
"20 N Front St, Steelton, PA 17113","$7,531",377,"Industrial, Manufacturing",PPL Electric Utilities Corp,"31,378",James Graham
"100 Premium Outlets Blvd, Hagerstown, MD 21740","$11,595",386,"Retail, Strip Mall",The Potomac Edison Co,"51,532","South Hagerstown, LLC"
"355 Maple St, Bellingham, MA 02019","$27,750",278,"Industrial, Warehouse",National Grid - Massachusetts,"23,125","LIT MILLENIUM, INC."
"205 Shelhouse Dr, Rantoul, IL 61866","$44,754","1,658","Industrial, Manufacturing",Ameren Illinois,"138,131",Beauty Quest Group TSC
"200 Church St, Landisville, PA 17538","$4,343",217,"School, Primary",PPL Electric Utilities Corp,"28,954",Hempfield Area Recreation Comm
"2121 Wheatsheaf Ln, Philadelphia, PA 19137","$4,710",294,"Industrial, Manufacturing",PECO Energy Co,"24,531","FGD WHEATSHEAF ACQUISITION SUB, L.L.C."
"15190 NBN Way, Waynesboro, PA 17268",—,—,"Industrial, Warehouse",West Penn Power Co,"32,654",The Globe Pequot Publishing Group Inc
"2485 Commerce Center Blvd, Bethlehem, PA 18015","$9,168",458,"Industrial, Warehouse",PPL Electric Utilities Corp,"38,198","Clarion Partners, LLC"
"2805 S 25th Ave, Broadview, IL 60155","$9,605",384,"Industrial, Manufacturing",Commonwealth Edison Co,"32,017",Siarhei Ausiankin
"38 Neponset Ave, Foxborough, MA 02035","$19,404",194,"Industrial, Manufacturing",National Grid - Massachusetts,"16,170",Schneider Electric
